quantile	load_prediction_error_over	load_prediction_error_under	infer_prediction_error_over	infer_prediction_error_under	load_prediction_error_ratio_over	load_prediction_error_ratio_under	infer_prediction_error_ratio_over	infer_prediction_error_ratio_under	load_completion_error_over	load_completion_error_under	infer_completion_error_over	infer_completion_error_under	load_completion_error_ratio_over	load_completion_error_ratio_under	infer_completion_error_ratio_over	infer_completion_error_ratio_under	latency	cold	hot	y
0.2682951243891697	0.02356386777890112	6.382035277578551	0.019457	0.07044226283581416	1.0566595201976718e-09	2.8489269800587684e-06	5.728461541021723e-09	2.1295062976822585e-08	0.14463080747270912	7.119552570761136	0.228483	0.468504	3.8031024896621356e-09	2.681671009598677e-06	1.4223085103166368e-08	2.6726575134865726e-08	92.463279	95.00427944237885	92.462707	0.1356640510977744
0.28161755566148894	0.025560552457898095	7.549493571412798	0.020756	0.074538	1.135043105839945e-09	2.854107806214715e-06	6.125473097572827e-09	2.263224922997866e-08	0.1538925333199906	8.039615631085137	0.24493290391596176	0.487122	4.036128035849064e-09	2.7487593579563448e-06	1.5297371419486884e-08	2.7798930629117437e-08	92.64646	95.004547	92.645972	0.1436442893976435
0.2946974203186036	0.027719795664811055	7.774617699736472	0.022007	0.078774	1.2179672744852673e-09	2.8577753278930293e-06	6.4863155247614074e-09	2.3881716775706414e-08	0.16235606677994366	8.64857714095413	0.2617235136077823	0.505311	4.289035958147483e-09	2.7978751484195515e-06	1.6397491435024997e-08	2.8857923706756302e-08	92.800635	95.00480049797123	92.800161	0.15162452769751258
0.3075391348638984	0.02999304751246052	8.578529	0.023242	0.082751	1.3027236122687157e-09	2.8605543678013583e-06	6.816349257415499e-09	2.4955851856459564e-08	0.17067168261899535	10.271091108749827	0.27901474453223124	0.523334	4.544790478295324e-09	2.8226515445588843e-06	1.7527738273959766e-08	2.989691489682782e-08	92.934536	95.005055	92.93409580863447	0.15960476599738166
0.3201470353877881	0.03254889847920153	10.012987362403168	0.024408	0.086218	1.3951834984948518e-09	2.8627481736777118e-06	7.138310185185186e-09	2.5926972356143763e-08	0.18038101127393882	10.917703270022548	0.2967	0.540902	4.814209348210178e-09	2.837153498903017e-06	1.8691221423050975e-08	3.091806131250778e-08	93.053229	95.0053023443386	93.05282	0.16758500429725076
0.33252537903182566	0.03523319714802637	10.983778966950236	0.02553	0.08945	1.4851767523489312e-09	2.8645872987403296e-06	7.456733773154955e-09	2.6869845541902823e-08	0.19075404337571322	11.902234805642102	0.315116	0.558314	5.07074925622074e-09	2.8475369303826355e-06	1.988481538590091e-08	3.1939574915158335e-08	93.16096	95.005575	93.16057	0.17556524259711984
0.3446783454261555	0.03799953279027282	12.110345172179194	0.026624	0.09261352991186268	1.596241628737675e-09	2.8662010030660954e-06	7.773356313093825e-09	2.7835345618230914e-08	0.20009546309351592	12.940189988007893	0.334256	0.575527	5.366658877593207e-09	2.855550063512411e-06	2.1111380913440567e-08	3.29444974484301e-08	93.259957	95.005808	93.259578	0.1835454808969889
0.3566100381007933	0.04121554783891031	12.256059804805197	0.027717	0.095799	1.6957789457180042e-09	2.8675944680006485e-06	8.087048235858771e-09	2.889347784295379e-08	0.21099519501714994	13.4937978368745	0.35406383411197245	0.592494	5.640197457182068e-09	2.86197250175564e-06	2.2371644336399157e-08	3.394582321690382e-08	93.351933	95.006066	93.351547	0.191525719196858
0.3683244858712098	0.0446424914945871	13.326414797444437	0.028765	0.099156	1.805703349567719e-09	2.8688340946151765e-06	8.387017862350133e-09	3.0088090446389586e-08	0.22182306309879954	14.184567802973492	0.374568	0.609313	5.936519601208374e-09	2.8672536697151864e-06	2.3656140022259425e-08	3.4942811699860126e-08	93.438499	95.00630676268516	93.43811003119541	0.1995059574967271
0.3798256441986877	0.04820088569746398	13.465065942821138	0.029789	0.102919	1.9198938976312737e-09	2.8699404866113426e-06	8.671094863837972e-09	3.134871783408842e-08	0.23344130522803172	14.478849480107511	0.395645	0.625947	6.2391483103041324e-09	2.871764228450489e-06	2.4980571287013355e-08	3.593043003768281e-08	93.520548	95.00651862749588	93.520165	0.20748619579659616
