bucket	t	throughput	goodput	batchsize	coldstart	warmstart	coldmodel	models	latency_median	latency_p99	latency_max	warmmodel
29	29.0	8372.3	5155.6	7.609392323842325	0.18333333333333332	5289.966666666666	10.0	217	93.9443805	697.0187728100003	5846.801562	147
30	30.0	8911.633333333333	4392.033333333334	7.601605555732535	0.2	4875.866666666667	12.0	252	95.001493	683.6643395100011	4977.655413	163
31	31.0	8575.616666666667	5450.033333333334	7.633001918716205	0.16666666666666666	5561.266666666666	10.0	210	93.842532	697.9085059600009	3071.84063	137
32	32.0	8652.783333333333	5526.666666666667	7.614780716437897	0.15	5623.816666666667	9.0	192	93.89483	677.3404784599915	3999.927644	141
33	33.0	8740.633333333333	5082.2	7.624309275931669	0.05	5175.433333333333	3.0	199	94.2798175	764.6229985300001	4056.86311	122
34	34.0	8771.566666666668	4800.9	7.618650060086817	0.13333333333333333	4929.816666666667	8.0	231	94.535914	763.4453874100011	5313.283179	129
35	35.0	8742.35	4163.283333333334	7.542860996608229	0.2	4671.833333333333	12.0	264	95.002246	669.9751879999994	2982.172427	174
36	36.0	9143.15	5018.983333333334	7.649120291415863	0.05	5118.866666666667	3.0	199	94.488239	685.1584038399996	3166.323162	114
37	37.0	8648.7	4985.066666666667	7.621269490152101	0.06666666666666667	5071.883333333333	4.0	206	94.2610025	709.7760982799998	6986.470425	123
38	38.0	8592.366666666667	5241.366666666667	7.597461652719973	0.06666666666666667	5339.016666666666	4.0	207	94.0629995	732.5478472999957	4065.093156	143
39	39.0	8670.266666666666	5179.983333333334	7.596603774707733	0.06666666666666667	5271.883333333333	4.0	207	94.1372905	668.5274758499753	7058.782585	127
40	40.0	9010.9	4648.75	7.576220790845868	0.11666666666666667	4984.433333333333	7.0	241	95.000509	642.7389281399993	5974.331211	152
41	41.0	8965.0	5232.483333333334	7.625854381592588	0.06666666666666667	5320.65	4.0	204	94.269859	629.1941562100001	6256.076953	130
42	42.0	8607.0	5280.316666666667	7.6225475121471185	0.11666666666666667	5375.483333333334	6.0	199	94.1018535	711.2865088499997	7954.008147	128
43	43.0	8570.166666666666	5849.5	7.624078910734883	0.1	5969.716666666666	6.0	208	93.6684655	630.4925744999994	5481.506343	149
44	44.0	8937.416666666666	5312.583333333333	7.620629467582391	0.03333333333333333	5423.383333333333	2.0	207	94.193501	694.0064243999944	4273.977561	134
45	45.0	8497.333333333334	5071.183333333333	7.590178563353361	0.05	5225.7	3.0	229	94.011591	655.6858567399994	8715.337767	150
46	46.0	8473.566666666668	5240.716666666666	7.617022339359642	0.05	5329.783333333334	3.0	191	94.067187	688.78421978	6144.170789	131
47	47.0	8807.5	5569.866666666667	7.6242835130970725	0.03333333333333333	5656.5	2.0	182	94.024338	501.94448979000225	8045.331186	127
